Date : 2025-05-23 16:43:18
Directory : c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb
Total : 298 files,  35336 codes, 4807 comments, 5072 blanks, all 45215 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| public\lib\easing                                                                                                       |          2 |        154 |          9 |          8 |        171 |
| public\lib\owlcarousel                                                                                                  |          8 |      2,118 |        967 |        489 |      3,574 |
| public\lib\owlcarousel (Files)                                                                                          |          2 |      1,903 |        913 |        467 |      3,283 |
| public\lib\owlcarousel\assets                                                                                           |          6 |        215 |         54 |         22 |        291 |
| public\lib\tempusdominus                                                                                                |          6 |      2,781 |         75 |        347 |      3,203 |
| public\lib\tempusdominus\css                                                                                            |          2 |        396 |         10 |          8 |        414 |
| public\lib\tempusdominus\js                                                                                             |          4 |      2,385 |         65 |        339 |      2,789 |
| public\lib\waypoints                                                                                                    |          2 |          6 |          6 |          1 |         13 |
| public\lib\wow                                                                                                          |          2 |        473 |         26 |         48 |        547 |
| public\sass                                                                                                             |          2 |          7 |          5 |          5 |         17 |
| public\scss                                                                                                             |         82 |      5,892 |      1,244 |      1,354 |      8,490 |
| public\scss (Files)                                                                                                     |          1 |         15 |          1 |         12 |         28 |
| public\scss\bootstrap                                                                                                   |         81 |      5,877 |      1,243 |      1,342 |      8,462 |
| public\scss\bootstrap\scss                                                                                              |         81 |      5,877 |      1,243 |      1,342 |      8,462 |
| public\scss\bootstrap\scss (Files)                                                                                      |         39 |      4,251 |        910 |      1,001 |      6,162 |
| public\scss\bootstrap\scss\forms                                                                                        |          9 |        569 |         96 |        114 |        779 |
| public\scss\bootstrap\scss\helpers                                                                                      |          7 |         77 |         12 |         19 |        108 |
| public\scss\bootstrap\scss\mixins                                                                                       |         24 |        749 |        161 |        142 |      1,052 |
| public\scss\bootstrap\scss\utilities                                                                                    |          1 |         29 |         12 |          7 |         48 |
| public\scss\bootstrap\scss\vendor                                                                                       |          1 |        202 |         52 |         59 |        313 |
| resources                                                                                                               |        117 |      8,568 |      1,337 |      1,767 |     11,672 |
| resources\css                                                                                                           |          1 |          3 |          0 |          1 |          4 |
| resources\js                                                                                                            |          3 |         31 |         48 |         20 |         99 |
| resources\js (Files)                                                                                                    |          2 |         10 |         48 |         17 |         75 |
| resources\js\components                                                                                                 |          1 |         21 |          0 |          3 |         24 |
| resources\sass                                                                                                          |          2 |          7 |          5 |          5 |         17 |
| resources\scss                                                                                                          |         82 |      5,892 |      1,244 |      1,354 |      8,490 |
| resources\scss (Files)                                                                                                  |          1 |         15 |          1 |         12 |         28 |
| resources\scss\bootstrap                                                                                                |         81 |      5,877 |      1,243 |      1,342 |      8,462 |
| resources\scss\bootstrap\scss                                                                                           |         81 |      5,877 |      1,243 |      1,342 |      8,462 |
| resources\scss\bootstrap\scss (Files)                                                                                   |         39 |      4,251 |        910 |      1,001 |      6,162 |
| resources\scss\bootstrap\scss\forms                                                                                     |          9 |        569 |         96 |        114 |        779 |
| resources\scss\bootstrap\scss\helpers                                                                                   |          7 |         77 |         12 |         19 |        108 |
| resources\scss\bootstrap\scss\mixins                                                                                    |         24 |        749 |        161 |        142 |      1,052 |
| resources\scss\bootstrap\scss\utilities                                                                                 |          1 |         29 |         12 |          7 |         48 |
| resources\scss\bootstrap\scss\vendor                                                                                    |          1 |        202 |         52 |         59 |        313 |
| resources\views                                                                                                         |         29 |      2,635 |         40 |        387 |      3,062 |
| resources\views (Files)                                                                                                 |          5 |        631 |         11 |         85 |        727 |
| resources\views\admin_users                                                                                             |          5 |        180 |          6 |         28 |        214 |
| resources\views\auth                                                                                                    |          6 |        501 |          5 |         94 |        600 |
| resources\views\auth (Files)                                                                                            |          3 |        367 |          5 |         64 |        436 |
| resources\views\auth\passwords                                                                                          |          3 |        134 |          0 |         30 |        164 |
| resources\views\brands                                                                                                  |          4 |        223 |          2 |         22 |        247 |
| resources\views\cars                                                                                                    |          4 |        402 |          8 |         52 |        462 |
| resources\views\layouts                                                                                                 |          1 |        384 |          7 |         63 |        454 |
| resources\views\reservations                                                                                            |          4 |        314 |          1 |         43 |        358 |
| routes                                                                                                                  |          2 |         53 |          2 |         27 |         82 |
| tests                                                                                                                   |          3 |         27 |          8 |         13 |         48 |
| tests (Files)                                                                                                           |          1 |          6 |          1 |          4 |         11 |
| tests\Feature                                                                                                           |          1 |         11 |          4 |          5 |         20 |
| tests\Unit                                                                                                              |          1 |         10 |          3 |          4 |         17 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\README.md                                                            | Markdown   |         48 |          0 |         21 |         69 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Enums\StatesEnum.php                                             | PHP        |         13 |          0 |          5 |         18 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\AdminDashboardController.php                    | PHP        |         46 |         27 |         19 |         92 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\AdminUserController.php                         | PHP        |         67 |          0 |         15 |         82 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\Auth\ConfirmPasswordController.php              | PHP        |         13 |         20 |          7 |         40 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\Auth\ForgotPasswordController.php               | PHP        |          8 |         10 |          5 |         23 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\Auth\LoginController.php                        | PHP        |         14 |         20 |          7 |         41 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\Auth\RegisterController.php                     | PHP        |         38 |         47 |         15 |        100 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\Auth\ResetPasswordController.php                | PHP        |          9 |         15 |          6 |         30 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\Auth\VerificationController.php                 | PHP        |         15 |         20 |          7 |         42 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\BrandsController.php                            | PHP        |         56 |         25 |         23 |        104 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\CarsController.php                              | PHP        |         96 |         27 |         38 |        161 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\CommonController.php                            | PHP        |         11 |          2 |          5 |         18 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\Controller.php                                  | PHP        |          9 |          0 |          4 |         13 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\HomeController.php                              | PHP        |         14 |         10 |          5 |         29 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\LikeController.php                              | PHP        |         45 |          3 |         10 |         58 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\MyPageController.php                            | PHP        |         32 |         29 |         16 |         77 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\PolicyController.php                            | PHP        |         28 |         27 |         10 |         65 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\RecommendedController.php                       | PHP        |         38 |         28 |         15 |         81 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Http\Controllers\ReservationController.php                       | PHP        |        114 |         25 |         26 |        165 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Models\Brand.php                                                 | PHP        |         15 |          3 |          6 |         24 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Models\Car.php                                                   | PHP        |         39 |          3 |         10 |         52 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Models\Like.php                                                  | PHP        |         15 |          0 |          7 |         22 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Models\Reservation.php                                           | PHP        |         20 |          0 |          6 |         26 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Models\User.php                                                  | PHP        |         41 |         17 |         10 |         68 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\app\Providers\AppServiceProvider.php                                 | PHP        |         12 |          8 |          5 |         25 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\bootstrap\app.php                                                    | PHP        |         14 |          2 |          3 |         19 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\bootstrap\providers.php                                              | PHP        |          4 |          0 |          2 |          6 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\composer.json                                                        | JSON       |         74 |          0 |          1 |         75 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\composer.lock                                                        | JSON       |      8,413 |          0 |          1 |      8,414 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\config\app.php                                                       | PHP        |         22 |         82 |         23 |        127 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\config\auth.php                                                      | PHP        |         28 |         74 |         14 |        116 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\config\cache.php                                                     | PHP        |         57 |         34 |         18 |        109 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\config\database.php                                                  | PHP        |        108 |         43 |         23 |        174 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\config\filesystems.php                                               | PHP        |         33 |         32 |         13 |         78 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\config\logging.php                                                   | PHP        |         79 |         33 |         21 |        133 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\config\mail.php                                                      | PHP        |         55 |         43 |         19 |        117 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\config\queue.php                                                     | PHP        |         52 |         44 |         17 |        113 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\config\services.php                                                  | PHP        |         20 |         11 |          8 |         39 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\config\session.php                                                   | PHP        |         23 |        160 |         35 |        218 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\factories\UserFactory.php                                   | PHP        |         25 |         14 |          6 |         45 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\migrations\0001_01_01_000000_create_users_table.php         | PHP        |         38 |          6 |          6 |         50 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\migrations\0001_01_01_000001_create_cache_table.php         | PHP        |         25 |          6 |          5 |         36 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\migrations\0001_01_01_000002_create_jobs_table.php          | PHP        |         46 |          6 |          6 |         58 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\migrations\2024_12_30_122131_create_cars_table.php          | PHP        |         25 |          6 |          4 |         35 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\migrations\2024_12_30_133357_create_brands_table.php        | PHP        |         20 |          6 |          4 |         30 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\migrations\2024_12_30_134310_add_brand_id_to_cars_table.php | PHP        |         21 |         10 |          3 |         34 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\migrations\2025_01_13_115146_alter_users_table.php          | PHP        |         21 |          6 |          4 |         31 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\migrations\2025_01_13_134058_create_reservations_table.php  | PHP        |         24 |          6 |          4 |         34 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\migrations\2025_05_02_153047_add_created_to_cars.php        | PHP        |         20 |          6 |          4 |         30 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\migrations\2025_05_02_160720_add_role_to_users.php          | PHP        |         19 |          6 |          4 |         29 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\migrations\2025_05_02_192546_add_km_recorded_to_cars.php    | PHP        |         19 |          6 |          4 |         29 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\migrations\2025_05_02_202252_alter_reservations_status.php  | PHP        |         18 |          6 |          4 |         28 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\migrations\2025_05_15_175116_create_likes_table.php         | PHP        |         22 |          0 |          6 |         28 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\database\seeders\DatabaseSeeder.php                                  | PHP        |         14 |          5 |          5 |         24 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\package-lock.json                                                    | JSON       |      3,263 |          0 |          1 |      3,264 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\package.json                                                         | JSON       |         22 |          0 |          1 |         23 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\phpunit.xml                                                          | XML        |         31 |          2 |          1 |         34 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\postcss.config.js                                                    | JavaScript |          6 |          0 |          1 |          7 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\css\app.css                                                   | PostCSS    |          3 |          0 |          1 |          4 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\css\bootstrap.min.css                                         | PostCSS    |          1 |          5 |          1 |          7 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\css\style.css                                                 | PostCSS    |        308 |         14 |         71 |        393 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\index.php                                                     | PHP        |          9 |          3 |          6 |         18 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\js\app.js                                                     | JavaScript |          6 |         25 |          9 |         40 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\js\bootstrap.js                                               | JavaScript |          4 |         23 |          8 |         35 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\js\components\ExampleComponent.vue                            | vue        |         21 |          0 |          3 |         24 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\js\main.js                                                    | JavaScript |         84 |          8 |         19 |        111 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\animate\animate.css                                       | PostCSS    |      1,256 |         11 |        313 |      1,580 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\animate\animate.min.css                                   | PostCSS    |          2 |          7 |          3 |         12 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\counterup\counterup.min.js                                | JavaScript |          1 |         10 |          1 |         12 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\easing\easing.js                                          | JavaScript |        153 |          9 |          7 |        169 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\easing\easing.min.js                                      | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\owlcarousel\assets\owl.carousel.css                       | PostCSS    |        132 |         23 |         16 |        171 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\owlcarousel\assets\owl.carousel.min.css                   | PostCSS    |          1 |          5 |          0 |          6 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\owlcarousel\assets\owl.theme.default.css                  | PostCSS    |         40 |          8 |          3 |         51 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\owlcarousel\assets\owl.theme.default.min.css              | PostCSS    |          1 |          5 |          0 |          6 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\owlcarousel\assets\owl.theme.green.css                    | PostCSS    |         40 |          8 |          3 |         51 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\owlcarousel\assets\owl.theme.green.min.css                | PostCSS    |          1 |          5 |          0 |          6 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\owlcarousel\owl.carousel.js                               | JavaScript |      1,901 |        908 |        467 |      3,276 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\owlcarousel\owl.carousel.min.js                           | JavaScript |          2 |          5 |          0 |          7 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\tempusdominus\css\tempusdominus-bootstrap-4.css           | PostCSS    |        198 |          5 |          4 |        207 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\tempusdominus\css\tempusdominus-bootstrap-4.min.css       | PostCSS    |        198 |          5 |          4 |        207 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\tempusdominus\js\moment-timezone.min.js                   | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\tempusdominus\js\moment.min.js                            | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\tempusdominus\js\tempusdominus-bootstrap-4.js             | JavaScript |      2,381 |         60 |        339 |      2,780 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\tempusdominus\js\tempusdominus-bootstrap-4.min.js         | JavaScript |          2 |          5 |          0 |          7 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\waypoints\links.php                                       | PHP        |          5 |          0 |          1 |          6 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\waypoints\waypoints.min.js                                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\wow\wow.js                                                | JavaScript |        472 |         24 |         47 |        543 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\lib\wow\wow.min.js                                            | JavaScript |          1 |          2 |          1 |          4 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\sass\_variables.scss                                          | SCSS       |          4 |          2 |          2 |          8 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\sass\app.scss                                                 | SCSS       |          3 |          3 |          3 |          9 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap.scss                                           | SCSS       |         15 |          1 |         12 |         28 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_accordion.scss                           | SCSS       |         89 |          8 |         22 |        119 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_alert.scss                               | SCSS       |         34 |         13 |         11 |         58 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_badge.scss                               | SCSS       |         20 |          6 |          4 |         30 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_breadcrumb.scss                          | SCSS       |         24 |          1 |          4 |         29 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_button-group.scss                        | SCSS       |         90 |         23 |         27 |        140 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_buttons.scss                             | SCSS       |         74 |         16 |         22 |        112 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_card.scss                                | SCSS       |        153 |         27 |         36 |        216 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_carousel.scss                            | SCSS       |        158 |         41 |         31 |        230 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_close.scss                               | SCSS       |         30 |          5 |          6 |         41 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_containers.scss                          | SCSS       |         27 |          8 |          7 |         42 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_dropdown.scss                            | SCSS       |        186 |         19 |         36 |        241 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_forms.scss                               | SCSS       |          9 |          0 |          1 |         10 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_functions.scss                           | SCSS       |        133 |         38 |         35 |        206 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_grid.scss                                | SCSS       |         11 |          6 |          6 |         23 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_helpers.scss                             | SCSS       |          7 |          0 |          1 |          8 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_images.scss                              | SCSS       |         22 |         13 |          8 |         43 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_list-group.scss                          | SCSS       |        111 |         27 |         37 |        175 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_mixins.scss                              | SCSS       |         25 |         10 |          8 |         43 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_modal.scss                               | SCSS       |        160 |         35 |         34 |        229 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_nav.scss                                 | SCSS       |         96 |         20 |         24 |        140 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_navbar.scss                              | SCSS       |        204 |         47 |         56 |        307 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_offcanvas.scss                           | SCSS       |         68 |          0 |         10 |         78 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_pagination.scss                          | SCSS       |         51 |          3 |         11 |         65 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_popover.scss                             | SCSS       |        134 |          5 |         20 |        159 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_progress.scss                            | SCSS       |         39 |          3 |          7 |         49 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_reboot.scss                              | SCSS       |        334 |        146 |        142 |        622 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_root.scss                                | SCSS       |         11 |          3 |          3 |         17 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_spinners.scss                            | SCSS       |         49 |         12 |          9 |         70 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_tables.scss                              | SCSS       |         78 |         43 |         30 |        151 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_toasts.scss                              | SCSS       |         44 |          0 |          8 |         52 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_tooltip.scss                             | SCSS       |         93 |          5 |         18 |        116 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_transitions.scss                         | SCSS       |         16 |          2 |          4 |         22 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_type.scss                                | SCSS       |         67 |         16 |         22 |        105 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_utilities.scss                           | SCSS       |        551 |         41 |          3 |        595 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\_variables.scss                           | SCSS       |        955 |        231 |        279 |      1,465 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\bootstrap-grid.scss                       | SCSS       |         50 |          8 |          8 |         66 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\bootstrap-reboot.scss                     | SCSS       |          6 |          8 |          2 |         16 |
